symbol,Date,FiscalQuarter,FiscalYear,NetIncome,GrossSales
666,2010-01-06,1.0,2010,-19.0,996.5331055277314
816,2010-01-12,3.0,2010,46094.097656,76823.49609333334
634,2010-01-20,4.0,2009,2389.096924,3981.8282066666666
344,2010-01-21,4.0,2009,3534.0,5890.0
619,2010-01-21,4.0,2009,-60.200001,145.2512845047317
8,2010-01-22,1.0,2010,256.799988,1476.120299635735
138,2010-01-22,1.0,2010,350.0,5549.043929432645
37,2010-01-26,4.0,2009,10358.0,-999.0
159,2010-01-26,3.0,2010,915.0,15956.800061260574
228,2010-01-26,4.0,2009,1107.400024,1845.6667066666669
234,2010-01-26,4.0,2009,113.599998,245.2489088149804
274,2010-01-26,2.0,2010,46.299999,98.73262361749272
511,2010-01-26,3.0,2010,59.773998,99.62333
40,2010-01-27,4.0,2009,1312.0,10207.975279060913
54,2010-01-27,4.0,2009,827.0,4891.764237341978
109,2010-01-27,4.0,2009,2394.0,4118.690898819034
179,2010-01-27,4.0,2009,1034.0,1723.3333333333335
747,2010-01-27,4.0,2009,51.283001,499.8836006932535
35,2010-01-28,4.0,2009,2215.0,3691.666666666667
63,2010-01-28,4.0,2009,2291.0,3818.3333333333335
77,2010-01-28,4.0,2009,1151.703979,2294.373398543642
150,2010-01-28,4.0,2009,3024.0,6700.106948496727
168,2010-01-28,4.0,2009,-51.0,4124.320874973139
173,2010-01-28,1.0,2010,75.585999,721.8046497829209
203,2010-01-28,4.0,2009,3208.0,5346.666666666667
210,2010-01-28,4.0,2009,1976.0,3293.3333333333335
296,2010-01-28,2.0,2010,10236.0,17060.0
420,2010-01-28,4.0,2009,46.876999,78.12833166666667
507,2010-01-28,4.0,2009,-2.5,423.17114559559286
589,2010-01-28,2.0,2010,399.5,1467.033732213569
647,2010-01-28,4.0,2009,223.281006,667.861104071238
677,2010-01-28,4.0,2009,717.400024,1195.6667066666669
753,2010-01-28,4.0,2009,1092.0,2272.404620393338
11,2010-01-29,4.0,2009,2153.0,4469.5782163199365
590,2010-01-29,4.0,2009,929.380981,1548.9683016666668
608,2010-01-29,4.0,2009,902.0,6304.186863351555
25,2010-02-02,2.0,2010,1058.0,10012.946771903751
93,2010-02-02,1.0,2010,437.0,2064.673428579176
241,2010-02-02,4.0,2009,107.910004,250.66752824138806
124,2010-02-03,1.0,2010,19.9,248.8433954056799
240,2010-02-03,4.0,2009,850.299988,1678.1482708262552
322,2010-02-03,4.0,2009,-149.871002,132.02470443534574
394,2010-02-03,2.0,2010,3640.0,6066.666666666667
601,2010-02-03,4.0,2009,18.927,107.95797442119512
616,2010-02-03,4.0,2009,1083.0,1958.4970487907353
623,2010-02-03,4.0,2009,65.261002,856.6296748610562
745,2010-02-03,4.0,2009,848.799988,1414.6666466666668
770,2010-02-03,1.0,2010,763.0,1544.2027525360215
141,2010-02-04,4.0,2009,1208.0,2353.4808707867214
700,2010-02-04,4.0,2009,1462.624023,2437.706705
752,2010-02-04,4.0,2009,923.0,1538.3333333333335
762,2010-02-04,4.0,2009,23.9,301.931646242488
772,2010-02-04,1.0,2010,29.5,83.6446855488302
153,2010-02-05,4.0,2009,24.679001,198.46746346722725
215,2010-02-05,2.0,2010,19.473,-999.0
218,2010-02-05,4.0,2009,3142.0,6873.823330923189
295,2010-02-05,4.0,2009,433.600006,722.6666766666667
62,2010-02-09,4.0,2009,6906.0,11510.0
83,2010-02-09,1.0,2010,844.0,6114.9048145648485
262,2010-02-09,4.0,2009,-56.514999,281.4606994080507
257,2010-02-10,4.0,2009,-2436.0,5216.888604132917
199,2010-02-11,4.0,2009,5979.0,9965.0
729,2010-02-11,4.0,2009,1588.0,2667.033451700979
771,2010-02-11,4.0,2009,6552.0,11282.23054131017
34,2010-02-12,4.0,2009,62.455002,110.1271181968027
617,2010-02-12,4.0,2009,98.25,163.75
